event,date
"WFH, Twin Peaks S1 E3",2014-12-03
"Home with J, gardening & trip to the tip",2014-12-03
"Nick Talbot",2014-12-04
"Expensive bike maintenance",2014-12-05
"Fixed K's bike. Discovered local does 2pt takeouts",2014-12-06
,2014-12-07
,2014-12-08
,2014-12-09
,2014-12-10
,2014-12-11
,2014-12-12
,2014-12-13
