event,date
"WFH, Twin Peaks S1 E3 ",2014-12-03
"Home with J, gardening & trip to the tip",2014-12-03
"Nick Talbot",2014-12-04
"Expensive bike maintenance",2014-12-05
,2014-12-06
,2014-12-07
,2014-12-08
,2014-12-09
"Craft Brewing Co. with NS, NL, DL &c.",2014-12-10
"Visit to reprographics",2014-12-11
"Xmas tree",2014-12-12
